fish_id,test_name,bin,bin_s,l_saccs,r_saccs,l_saccs_s,r_saccs_s,l_abs,r_abs,l_abs_s,r_abs_s,l_abs_norm,r_abs_norm,l_abs_s_norm,r_abs_s_norm,l_agr,r_agr,l_agr_s,r_agr_s
5,wd,10,10,4,4,10,19,61.71348763,60.43948364,126.7486124,152.5148621,0.803117015,0.640124335,0.869220182,0.991262793,0.653225806,0.685483871,0.670682731,0.742971888
5,wd,20,10,6,15,10,19,65.03512478,92.07537842,126.7486124,152.5148621,0.8463436,0.975185207,0.869220182,0.991262793,0.688,0.8,0.670682731,0.742971888
5,wd,30,30,4,4,8,14,71.90719795,66.25817871,129.2685509,153.8591614,0.935774276,0.701751074,0.886501487,1,0.736,0.664,0.716,0.684
5,wd,40,30,4,10,8,14,57.36135292,87.60098267,129.2685509,153.8591614,0.746479908,0.927796159,0.886501487,1,0.696,0.704,0.716,0.684
5,wd,50,50,3,4,8,14,71.48392487,54.52470398,140.5152493,148.9430542,0.930265953,0.577479948,0.96362941,0.968048005,0.704,0.68,0.672,0.668
5,wd,60,50,5,10,8,14,69.03132439,94.41835022,140.5152493,148.9430542,0.898348697,1,0.96362941,0.968048005,0.64,0.656,0.672,0.668
5,wd,70,70,5,4,10,13,76.84246063,52.93222046,145.8187637,145.1447296,1,0.560613698,1,0.943360982,0.688,0.68,0.636,0.688
5,wd,80,70,5,9,10,13,68.9763031,92.21250916,145.8187637,145.1447296,0.89763267,0.976637581,1,0.943360982,0.584,0.696,0.636,0.688
5,wd,90,90,4,3,8,13,66.1609726,52.36218262,119.6162052,133.7537079,0.860994977,0.554576335,0.820307361,0.869325601,0.68,0.624,0.626506024,0.674698795
5,wd,100,90,4,10,8,13,53.45523262,81.39152527,119.6162052,133.7537079,0.69564707,0.862030793,0.820307361,0.869325601,0.572580645,0.725806452,0.626506024,0.674698795
5,gd,0,0,0,1,0,1,67.28448582,68.21723938,67.28448582,68.21723938,0.844116245,0.69438635,0.453358037,0.443153505,0.004,0.004,0.004,0.004
5,gd,10,10,1,3,1,6,38.17237759,40.61912537,72.44077778,92.83572388,0.478890842,0.413463906,0.488100762,0.603080347,0.571428571,0.587301587,0.56,0.616
5,gd,20,10,0,3,1,6,34.26840019,52.21659851,72.44077778,92.83572388,0.429913567,0.531515107,0.488100762,0.603080347,0.548387097,0.64516129,0.56,0.616
5,gd,30,30,3,3,4,9,59.16187286,46.97814941,115.1112757,118.6154175,0.742214158,0.478192698,0.775611515,0.770550647,0.664,0.704,0.636,0.696
5,gd,40,30,1,6,4,9,55.94940281,71.63726807,115.1112757,118.6154175,0.701912176,0.729198976,0.775611515,0.770550647,0.608,0.688,0.636,0.696
5,gd,50,50,3,3,8,9,61.30250072,48.71266174,131.976017,146.9537048,0.769069364,0.495848377,0.889244932,0.95464211,0.704,0.76,0.704,0.764
